sigma_hm,horizon,initial_log_consumption,initial_log_shadow_value,max_rms_residual
1.0,1000.0,-0.5204998162294496,-0.6830875803699097,3.214352011945476e-06
1.0,1200.0,-0.5204997877838562,-0.6830875578509279,5.2844105776540495e-06
1.0,1400.0,-0.5204997430809121,-0.683087522854881,7.992970425205683e-06
2.0,1400.0,-0.5204907195223895,-0.6840064513856171,7.982502795866734e-06
2.0,1600.0,-0.5204906546262127,-0.6840064013908318,1.136082502497048e-05
2.0,1800.0,-0.5204905655888362,-0.6840063339136326,1.5439601358168956e-05
