scenario,sigma_xl,sigma_hm,horizon,solver_status,solver_message,mesh_nodes,max_rms_residual,target_aggregate_growth,target_capability_growth,initial_consumption_share,initial_capability_growth,terminal_capital_growth,terminal_output_per_capita_growth,terminal_consumption_per_capita_growth,terminal_capability_growth,terminal_resource_share_sum,terminal_ai_share,terminal_automated_research_share,minimum_consumption_share,max_abs_euler_residual,max_abs_resource_residual,max_abs_research_compute_foc_log_error,max_abs_research_human_foc_log_error,max_abs_labor_market_error,max_abs_capital_law_residual,max_abs_capability_law_residual,max_abs_consumption_path_residual,max_abs_shadow_costate_residual,minimum_monopoly_soc_margin
axm_sigma_xl_1_hm_1,1.0,1.0,1200.0,0,The algorithm converged to the desired accuracy.,201,5.2844105776540495e-06,0.013680933852140078,0.006723735408560312,0.744758039895655,6.357742635913732e-05,0.013678519528943597,0.0016780359091766,0.0016770343932658478,0.00671100058517436,1.0,0.2,0.35000000000000014,0.744758039895655,0.0,2.220446049250313e-16,3.552713678800501e-15,3.5793590313915047e-13,8.881784197001252e-16,4.39084442063406e-06,1.671833620822509e-06,2.6965917728632993e-06,2.4645259502041605e-06,0.11604399999999992
axm_sigma_xl_1_hm_2,1.0,2.0,1600.0,0,The algorithm converged to the desired accuracy.,251,1.136082502497048e-05,0.015085714285714286,0.012342857142857143,0.7447710119167693,7.4828014488302e-05,0.015080972793734979,0.003079131097110121,0.0030760397436637756,0.012312103787072712,1.0,0.2,0.9999897045208882,0.7447710119167693,0.0,2.220446049250313e-16,5.329070518200751e-15,1.3448242519586984e-11,1.7763568394002505e-15,1.1993697982808776e-05,7.612434392186007e-07,7.367243374828414e-06,6.730134814485894e-06,0.11604399999999992
