scenario,population_growth,sigma_xl,investment_share,minimum_wage_index,minimum_wage_change_pct,year_of_minimum_wage,minimum_wage_growth_pct,first_negative_wage_growth_year,final_wage_index,final_wage_growth_pct,final_capital_deepening_contribution_pct,final_ai_substitution_contribution_pct,final_ai_share_pct,minimum_consumption_share_pct
wage_reference,0.012,4.0,0.23343234323432344,1.0,0.0,0.0,0.09323726994956427,,1.2815901275519563,0.12071952043479772,0.22497393073411523,-0.10328450495577605,15.891658557374589,68.29563909562356
wage_high_population,0.03,4.0,0.23343234323432344,1.0,0.0,0.0,0.06435154082429229,,1.169978416490132,0.4312091018955577,0.9765976427630888,-0.5324028786760655,43.04070782330335,55.51081522028749
wage_high_substitution,0.03,10.0,0.23343234323432344,0.9571022083662957,-4.289779163370433,80.0,-1.49734965713888,50.5,0.9571022083662957,-1.49734965713888,3.7991337149163753,-5.263316508496065,79.93120413434205,37.79274745364046
wage_low_investment,0.03,10.0,0.15,0.8184134217150758,-18.15865782849242,80.0,-1.0802045504887392,0.0,0.8184134217150758,-1.0802045504887392,1.798686221121935,-2.8868270429940615,59.51050353558392,54.06168054038212
