scenario,sigma_xl,sigma_hm,phi,eta,cd_stability_denominator,last_year,initial_capability_growth_pct,final_capability_growth_pct,final_output_per_capita_growth_pct,final_wage_growth_pct,final_ai_production_share_pct,final_automated_research_share_pct,final_human_research_population_pct,final_consumption_share_pct,initial_net_capital_return_pct,final_net_capital_return_pct,final_capital_output_ratio,final_euler_gap_pct_points
complements,0.75,2.0,0.65,0.45,0.2375,160.0,2.2736842105263158,1.541600561289586,0.17701120485104455,0.2013135680418985,35.638769654545484,10.955329205307322,8.784680103192837,75.56692802973116,2.1704425959572906,4.064328401397158,3.6406488477429235,-0.1227146837545137
cobb_douglas,1.0,2.0,0.65,0.45,0.2375,160.0,2.273684210526316,1.5774178171957154,0.41528385117617683,0.4006258443429828,20.000000000000004,20.06668198134359,3.6585369560582905,74.3502396812515,4.568428075301945,4.366310070234109,3.523266140537948,-0.048973780942078535
substitutes,2.0,2.0,0.65,0.45,0.2375,160.0,2.2736842105263158,2.0984383513865597,4.096269929829214,1.7725914299572394,56.178618671315505,31.122945889365095,3.719720009699369,53.72040360919992,8.250185331029696,7.914706868210933,2.558380936685328,0.6996700792173228
strong_substitutes,4.0,2.0,0.65,0.45,0.2375,135.5,2.2736842105263153,6.242872677715948,36.139656469067965,10.347176835491846,96.86868337375475,34.11810468686951,46.870585426605324,32.5028536406781,9.272413665510202,38.26495824713994,0.8619199177762075,-0.8283645947732013
high_feedback,1.0,2.0,0.86,0.62,-0.014999999999999986,600.0,2.2736842105263158,17.52901641079184,4.172770171636658,4.172591587047114,20.0,99.55421002935965,0.004268585409883068,74.35023968125147,4.568428075301945,9.20490662589774,2.3234373115264844,1.0321364542610818
