population_growth,sigma_xl,investment_share,minimum_wage_change_pct,minimum_wage_growth_pct
0.03,3.1,0.15,-9.183258679112106,-0.5118638313268364
0.03,4.0,0.15,-9.017080878570605,-0.47316030949355603
0.03,6.0,0.15,-11.612718154204948,-0.43209719432238947
0.03,8.0,0.15,-15.287360945125883,-0.6651829969290479
0.03,10.0,0.15,-18.15862955044367,-1.0254045581970073
0.03,3.1,0.2,0.0,0.0492972832376426
0.03,4.0,0.2,0.0,0.03207840587149957
0.03,6.0,0.2,0.0,-0.211428727299956
0.03,8.0,0.2,-4.658866766949787,-0.7609794207739218
0.03,10.0,0.2,-9.13832589198621,-1.242536460686694
0.03,3.1,0.23343234323432344,0.0,0.10101237247675532
0.03,4.0,0.23343234323432344,0.0,0.0645442138849539
0.03,6.0,0.23343234323432344,0.0,-0.19884592716540306
0.03,8.0,0.23343234323432344,0.0,-0.8283214594158261
0.03,10.0,0.23343234323432344,-4.2897489134936855,-1.4074132764732128
