scenario,sigma_xl,last_year,initial_gross_capital_return_pct,initial_net_capital_return_pct,minimum_net_capital_return_pct,minimum_net_capital_return_year,maximum_net_capital_return_pct,maximum_net_capital_return_year,final_net_capital_return_pct,final_capital_output_ratio,final_euler_gap_pct_points
complements,0.75,160.0,7.170442595957291,2.1704425959572906,2.1704425959572906,0.0,4.336023571759176,71.0,4.048736231639867,3.646918106045792,-0.12850069376294584
cobb_douglas,1.0,160.0,9.568428075301945,4.568428075301945,4.361614668825219,160.0,4.581411726595647,12.0,4.361614668825219,3.525032931540339,-0.05094296646261723
substitutes,2.0,160.0,13.250185331029696,8.250185331029696,4.392623313382825,65.0,8.728095973877691,160.0,8.728095973877691,2.4038293484248343,0.8574754587482379
strong_substitutes,4.0,135.5,14.272413665510204,9.272413665510202,4.3158906257198035,58.5,75.81092767247277,135.5,75.81092767247277,0.4083606134772913,4.203463612165859
