scenario,sigma,last_year,initial_human_to_automated_ratio,final_human_to_automated_ratio,initial_automated_research_per_capita,final_automated_research_per_capita,initial_human_research_population_pct,minimum_human_research_population_pct,minimum_human_research_population_year,final_human_research_population_pct,final_capability_growth_pct
research_sigma_cd,1.0,180.0,19.507245503285993,3.776687144051878,0.0037174604973148674,0.008806296120506157,7.251741456988876,3.3258625345029533,180.0,3.3258625345029533,1.5375807751298258
research_sigma_substitutes,2.0,180.0,7.315300143931417,0.2948143479109611,0.005147872128260465,0.16166186565985272,3.765822972080431,3.1975272220874706,65.0,4.7660237506578875,2.900315556285802
research_sigma_high,2.25,178.0,6.958010843994347,0.01794858410037151,0.005243971909222993,10.841924776788563,3.648761340997533,3.109356926666217,54.0,19.459719866609117,10.717993213709724
