scenario,time,log_capital,log_capability,log_population,log_consumption,log_shadow_value,log_output,log_wage,log_ai_price,log_ai_services,log_inference_compute,log_human_research,log_production_labor,log_automated_research,log_effective_research,capital_growth,capability_growth,consumption_growth,consumption_per_capita_growth,shadow_growth,output_growth,output_per_capita_growth,wage_growth,gross_capital_return,net_capital_return,human_research_share,ai_share,inverse_demand_elasticity,monopoly_soc_margin,automated_research_share,inference_share,research_resource_share,investment_share,consumption_share,resource_share_sum,production_labor_share,aggregate_labor_share,human_to_automated_research_ratio,log_output_per_capita,log_consumption_per_capita,log_capital_per_capita,monopoly_foc_log_error,research_compute_foc_log_error,research_human_foc_log_error,labor_market_error,euler_residual,capital_law_residual,capability_law_residual,consumption_euler_path_residual,shadow_costate_residual
equilibrium_sigma_1_00,78.0,2.1104892212197695,0.45614760249706854,0.936,0.5463024316261548,-0.1694672885957619,0.8302166733908992,-0.7263144553408765,1.553767876534157,-2.7334666821744835,-3.189614284671552,-4.8451322865944055,0.9329100108204406,-7.535839614088579,-5.444218822875039,0.013647677647140352,0.0072382217914529,0.013727305664379082,0.0017273056643790814,0.006100684888039502,0.01373940537858831,0.0017394053785883094,0.0017530831759552667,0.09172730566437909,0.041727305664379086,0.00308522007641821,0.2,0.8660000000000001,0.11604399999999992,0.12299242386436236,0.017956,0.00023263117756041756,0.22898016540905333,0.7528312034133863,1.0,0.5359999999999999,0.5376587957107898,14.742099725943874,-0.10578332660910084,-0.3896975683738453,1.1744892212197695,-1.1102230246251565e-15,5.273559366969494e-16,1.3766765505351941e-14,0.0,0.0,-9.369788852263417e-08,-1.0451287804809362e-08,-5.96722779522274e-08,-4.3729890137830796e-08
equilibrium_sigma_1_00,80.0,2.1378005392544552,0.4706971648381526,0.96,0.5737738857402164,-0.15732136094504023,0.8577128926598332,-0.7227909032020641,1.5392183141930735,-2.691420900564466,-3.162118065402619,-4.81233921933471,0.9568826779505621,-7.495999442551257,-5.410557674799716,0.013663827186808142,0.0073113704856761896,0.013744267724515292,0.0017442677245152922,0.006045330409433038,0.013756908741185486,0.001756908741185486,0.0017705626862569157,0.0917442677245153,0.0417442677245153,0.003112468245990651,0.2,0.8660000000000001,0.11604399999999992,0.12337299799211407,0.017955999999999982,0.0002355205622369996,0.2289959197748633,0.7528125596628996,0.9999999999999999,0.5359999999999999,0.5376734916695323,14.63857581224211,-0.10228710734016677,-0.3862261142597836,1.1778005392544553,-4.440892098500626e-16,-5.551115123125783e-16,1.354472090042691e-14,0.0,0.0,0.0,0.0,0.0,0.0
equilibrium_sigma_1_00,82.0,2.1651446853042287,0.4853931457047411,0.984,0.6012796034101264,-0.14528589886236554,0.8852443083556412,-0.7192322045958488,1.5245223333264852,-2.6491935040020698,-3.1345866497068107,-4.779638896128896,0.9808553950401548,-7.456181722133014,-5.3769778860630195,0.013680320331764695,0.007384609585862424,0.013761450249890277,0.0017614502498902763,0.00599014122102659,0.013774559338204428,0.0017745593382044282,0.001788187107347572,0.09176145024989028,0.04176145024989028,0.003139665868188847,0.2,0.8660000000000001,0.11604399999999992,0.12375839486594079,0.017956,0.00023843208896002146,0.2290123537962226,0.7527932141148175,1.0,0.5359999999999999,0.5376881611673463,14.534757151151071,-0.09875569164435882,-0.38272039658987356,1.1811446853042287,-2.220446049250313e-16,2.220446049250313e-16,1.3655743202889425e-14,0.0,0.0,3.9539436476679346e-08,1.1205084402866883e-08,2.5817056707733155e-08,1.2787521234611243e-08
equilibrium_sigma_1_00,84.0,2.192522142772204,0.5002356896420763,1.008,0.6288198944942128,-0.13336065556962418,0.9128111300126509,-0.7156381547726738,1.5096797893891494,-2.606784138407724,-3.1070198280498005,-4.747031082413501,1.0048281668739896,-7.416385808771267,-5.343479082640298,0.013697118831401026,0.007457927942373155,0.013778828227832877,0.0017788282278328772,0.005935105232519895,0.01379231476546533,0.0017923147654653297,0.0018059139762554022,0.09177882822783288,0.04177882822783288,0.003166808177490926,0.2,0.8660000000000001,0.11604399999999992,0.12414866905256801,0.017956,0.00024136579858183359,0.22902939185693144,0.7527732423444866,0.9999999999999999,0.5359999999999999,0.5377028016292592,14.43065446688486,-0.0951888699873491,-0.3791801055057872,1.1845221427722041,-8.881784197001252e-16,-1.1102230246251565e-16,1.4210854715202004e-14,0.0,0.0,1.9773609180595564e-08,5.614048944474481e-09,1.2910858432704786e-08,6.386979852987529e-09
equilibrium_sigma_1_00,86.0,2.2199334037572136,0.5152249215705662,1.032,0.6563950724511002,-0.1215453630431419,0.9404135674175025,-0.7120085486908272,1.494690557460659,-2.5641924690743823,-3.0794173906449487,-4.714515528900617,1.0288009981969946,-7.376611043094689,-5.31006087380607,0.013714183165667873,0.00753131440775025,0.013796375852923405,0.0017963758529234049,0.0058802096199179164,0.01381017508676699,0.00181017508676699,0.001823743365575753,0.09179637585292341,0.04179637585292341,0.003193890448600907,0.2,0.8660000000000001,0.11604399999999992,0.12454387579428484,0.017956,0.0002443217361396321,0.22904695582272055,0.7527527224411399,1.0,0.5359999999999999,0.537717410501447,14.326278586130652,-0.09158643258249755,-0.37560492754889985,1.1879334037572136,-1.3322676295501878e-15,1.1102230246251565e-16,1.4876988529977098e-14,-1.1102230246251565e-16,0.0,-1.9777432625628366e-08,-5.625648243252901e-09,-1.2913175136824995e-08,-6.377629114054373e-09
equilibrium_sigma_1_00,88.0,2.247378960358089,0.5303609664106208,1.056,0.6840054507394142,-0.10983975325924422,0.9680518303597189,-0.7083431813103708,1.479554512620605,-2.521418161292112,-3.0517791277027326,-4.682091986475152,1.0527738937587545,-7.33685676590831,-5.27672286707119,0.013731473783763284,0.007604757741611549,0.013814067301234766,0.0018140673012347654,0.005825441619163974,0.013828140303303343,0.0018281403033033432,0.0018416752745739895,0.09181406730123477,0.04181406730123477,0.003220907952085943,0.2,0.8660000000000001,0.11604399999999992,0.12494407098627987,0.017956,0.0002472999473668681,0.22906496756798228,0.7527317324846508,0.9999999999999999,0.5359999999999999,0.5377319852273095,14.221640443540572,-0.08794816964028118,-0.37199454926058584,1.1913789603580889,-8.881784197001252e-16,1.1102230246251565e-16,1.5432100042289676e-14,0.0,0.0,-3.956288698730992e-08,-1.127362500141088e-08,-2.583111690691864e-08,-1.2742248978181436e-08
equilibrium_sigma_1_00,90.0,2.2748593046736625,0.545643949082649,1.08,0.7116513428177801,-0.09824355819425706,0.9957261286307159,-0.7046418475925312,1.4642715299485762,-2.478460880349086,-3.024104829431735,-4.64976020619895,1.076746858311912,-7.297122318196428,-5.243464668153897,0.013748951102933352,0.007678246614075721,0.013831876729800081,0.0018318767298000811,0.005770788523378322,0.013846201080172954,0.0018462010801729538,0.0018597003534147893,0.09183187672980009,0.041831876729800085,0.0032478559559654023,0.2,0.8660000000000001,0.11604399999999992,0.12534931118583267,0.017956,0.0002503004787491182,0.22908334897550126,0.7527103505457494,0.9999999999999997,0.5359999999999999,0.5377465232483317,14.116751078480593,-0.08427387136928421,-0.36834865718222,1.1948593046736624,-1.3322676295501878e-15,5.551115123125783e-17,1.587618925213974e-14,0.0,0.0,0.0,-8.673617379884035e-19,0.0,0.0
equilibrium_sigma_1_00,92.0,2.3023748383028764,0.5610739758268137,1.104,0.739333003721231,-0.08675654479382205,1.0234366346804107,-0.7009043798967116,1.4488415032044122,-2.435320347555227,-2.9963943233820407,-4.617519956121392,1.1007198966657872,-7.257407132727231,-5.210285907163033,0.013766583317381662,0.007751769568496149,0.013849783158656585,0.001849783158656585,0.005716242082042675,0.013864328005905119,0.0018643280059051186,0.001877789167606364,0.09184978315865659,0.04184978315865659,0.003274729672265728,0.2,0.8660000000000001,0.11604399999999992,0.12575964950994553,0.017956,0.00025332336383541044,0.22910203781741548,0.7526886388187491,1.0,0.5359999999999999,0.5377610219752503,14.011622679724018,-0.08056336531958941,-0.3646669962787691,1.1983748383028763,-6.661338147750939e-16,-1.6653345369377348e-16,1.5987211554602254e-14,-1.1102230246251565e-16,0.0,1.772617351687711e-08,1.1469354161720846e-08,1.216634754053203e-08,4.3665482687971213e-10
equilibrium_sigma_1_00,94.0,2.3299257829169813,0.5766510768650948,1.1280000000000001,0.7670505687232093,-0.07537851755290398,1.0511834406543363,-0.6971306909221058,1.4332644021661312,-2.3919964405430205,-2.9686475174081153,-4.585371014661519,1.124693013665107,-7.217710813318145,-5.177186242937874,0.013784353222780169,0.007825315164733443,0.013867774743955931,0.0018677747439559307,0.005661802151287306,0.013882500301871104,0.0018825003018711033,0.0018959209391842258,0.09186777474395594,0.041867774743955935,0.0033015242782245937,0.2,0.8660000000000001,0.11604399999999992,0.126175130852,0.017956,0.0002563686131628132,0.22912100159367668,0.7526666297931606,1.0,0.5359999999999999,0.5377754787994904,13.906269737017121,-0.07681655934566378,-0.3609494312767908,1.2019257829169812,-6.661338147750939e-16,-1.6653345369377348e-16,1.6653345369377348e-14,-1.1102230246251565e-16,0.0,8.86504388300513e-09,5.743458068516172e-09,6.0843712967190156e-09,2.1257398966079144e-10
equilibrium_sigma_1_00,96.0,2.357512360723271,0.5923752630906238,1.1520000000000001,0.7948041716399527,-0.06410926477181378,1.078966635887895,-0.6933206961399747,1.4175402159406025,-2.348489059083933,-2.9408643221745567,-4.553313148684917,1.1486662141165347,-7.17803295777728,-5.144165321792842,0.013802243102681272,0.007898871977303289,0.013885839325322578,0.0018858393253225782,0.005607468264163789,0.013900717265249163,0.0019007172652491626,0.0019140949753094771,0.09188583932532259,0.04188583932532258,0.0033282349895176165,0.2,0.8660000000000001,0.11604399999999992,0.12659580034015774,0.017956,0.00025943623874398654,0.22914020678790709,0.7526443569733491,1.0,0.5359999999999999,0.5377898911326766,13.80070681172322,-0.07303336411210504,-0.3571958283600475,1.205512360723271,-2.220446049250313e-16,-2.220446049250313e-16,1.6764367671839864e-14,0.0,0.0,-8.866941306195919e-09,-5.752203963149682e-09,-6.085553191578774e-09,-2.0529408728542364e-10
